"";"n1";"n2";"mean1";"d";"sd1";"sd2";"est.alpha";"nsim"
"n1";6;3;35;2,31207066364062;1;1;0,699;1000
"n11";10;5;35;1,66031241810661;1;1;0,546;1000
"n12";20;10;35;1,1241086604229;1;1;0,614;1000
"n13";40;20;35;0,780250299405525;1;1;0,609;1000
"n14";80;40;35;0,546982069471436;1;1;0,661;1000
"n15";100;50;35;0,488425217736154;1;1;0,65;1000
"n16";160;80;35;0,385182498203183;1;1;0,647;1000
"n17";200;100;35;0,344232202078215;1;1;0,649;1000
"n18";400;200;35;0,243014327877009;1;1;0,645;1000
"n19";50;3;35;1,6975052415424;1;1;0,243;1000
"n110";10;2;35;2,40897450617249;1;1;0,583;1000
"n111";40;3;35;1,71763898912702;1;1;0,27;1000
